user_id,movie_id,rating,timestamp,user_idx,movie_idx
1,168,5,874965478,0,165
1,172,5,874965478,0,169
1,165,5,874965518,0,162
1,156,4,874965556,0,153
1,166,5,874965677,0,163
1,196,5,874965677,0,193
1,187,4,874965678,0,184
1,14,5,874965706,0,13
1,127,5,874965706,0,124
1,250,4,874965706,0,247
1,109,5,874965739,0,106
1,181,5,874965739,0,178
1,1,5,874965758,0,0
1,246,5,874965905,0,243
1,50,5,874965954,0,49
1,248,4,874965954,0,245
1,257,4,874965954,0,254
1,249,4,874965970,0,246
1,253,5,874965970,0,250
1,93,5,875071484,0,92
1,124,5,875071484,0,121
1,224,5,875071484,0,221
1,19,5,875071515,0,18
1,123,4,875071541,0,120
1,137,5,875071541,0,134
1,7,4,875071561,0,6
1,146,4,875071561,0,143
1,235,5,875071589,0,232
1,15,5,875071608,0,14
1,13,5,875071805,0,12
1,25,4,875071805,0,24
1,121,4,875071823,0,118
1,251,4,875071843,0,248
1,236,4,875071898,0,233
1,47,4,875072125,0,46
1,65,4,875072125,0,64
1,190,5,875072125,0,187
1,28,4,875072173,0,27
1,39,4,875072173,0,38
1,114,5,875072173,0,111
1,52,4,875072205,0,51
1,238,4,875072235,0,235
1,183,5,875072262,0,180
1,199,4,875072262,0,196
1,95,4,875072303,0,94
1,161,4,875072303,0,158
1,60,5,875072370,0,59
1,22,4,875072404,0,21
1,64,5,875072404,0,63
1,98,4,875072404,0,97
1,135,4,875072404,0,132
1,163,4,875072442,0,160
1,202,5,875072442,0,199
1,89,5,875072484,0,88
1,48,5,875072520,0,47
1,182,4,875072520,0,179
1,214,4,875072520,0,211
1,160,4,875072547,0,157
1,175,5,875072547,0,172
1,192,4,875072547,0,189
1,128,4,875072573,0,125
1,185,4,875072631,0,182
1,55,5,875072688,0,54
1,68,4,875072688,0,67
1,204,5,875072688,0,201
1,56,4,875072716,0,55
1,96,5,875072716,0,95
1,79,4,875072865,0,78
1,81,5,875072865,0,80
1,151,4,875072865,0,148
1,23,4,875072895,0,22
1,212,4,875072895,0,209
1,84,4,875072923,0,83
1,184,4,875072956,0,181
1,191,5,875072956,0,188
1,197,5,875072956,0,194
1,134,4,875073067,0,131
1,207,5,875073067,0,204
1,186,4,875073128,0,183
1,144,4,875073180,0,141
1,174,5,875073198,0,171
1,108,5,875240920,0,105
1,106,4,875241390,0,103
1,107,4,875241619,0,104
1,45,5,875241687,0,44
1,268,5,875692927,0,265
1,267,4,875692955,0,264
1,150,5,876892196,0,147
1,234,4,876892355,0,231
1,42,5,876892425,0,41
1,176,5,876892468,0,173
1,91,5,876892636,0,90
1,193,4,876892654,0,190
1,177,5,876892701,0,174
1,216,5,876892701,0,213
1,194,4,876892743,0,191
1,59,5,876892817,0,58
1,133,4,876892818,0,130
1,195,5,876892855,0,192
1,170,5,876892856,0,167
1,157,4,876892918,0,154
1,223,5,876892918,0,220
1,227,4,876892946,0,224
1,80,4,876893008,0,79
1,119,5,876893098,0,116
1,77,4,876893205,0,76
